id;Name_User;Date_Comment;Type_Comment;Number_Likes;Text;Hashtag;Language;Reaction
1;Costin Razvan Florea;2018-12-29T14:06:13.000Z;Comment;0;Who is she???;null;en;neutral
2;Gria Par8ena;2018-12-07T20:14:18.000Z;Comment;0;David makes me wet... What can I do? And his voice makes me wet as well..;null;en;positive
3;Rümeysa Yıldırım;2018-12-04T22:31:39.000Z;Comment;0;MAN sings the song whit love .🎤🎵🎵❤️❤️❤️🎶🎼🎼🎙️🎙️🎙️❤️❤️;null;en;positive
4;Carmen D Colorado;2018-12-02T19:21:52.000Z;Comment;0;Lovely thanks!💙❤💙❤💙❤💙❤💙;null;en;positive
5;Tristen Lang;2018-12-02T16:18:41.000Z;Comment;0;Just discovered the tunes!;null;en;positive
6;Ana Maciel Fangueiro;2018-12-01T19:25:15.000Z;Comment;0;That gypsy tone that David has me encanta. He can never do bad songs. He's one of my favourites since OT;null;en;positive
7;annessa deonarine;2018-11-30T19:08:18.000Z;Comment;0;Need another collaboration asap;null;en;positive
8;Hanane Azam;2018-12-23T15:17:08.000Z;Reply to Roy Martelo;0;Me too;null;en;positive
9;olga painebil;2018-11-25T22:57:22.000Z;Comment;1;Tofhu🎄😄🎄😄😄🎄😄🎄😄😄🎄😄😋😄😄😋😄😋😄😄😋😄😋🤗😄😋😄😋😄😋😄😄😋😄😋😄😋😄😄😋;null;en;neutral
10;walter Lopez;2018-11-21T05:59:12.000Z;Comment;1;David, Thanks for all the good songs. God BLESS you friend;null;en;positive
11;Florina Casas;2018-11-20T03:01:23.000Z;Comment;1;Love you,I am from Romania but I'm living in USA, your voice is beautiful! Your song with Andra is amazing ,😊;null;en;positive
12;Elena Ela;2018-11-09T19:31:22.000Z;Comment;1;♥ i love this song ♥ hugs;null;en;positive
13;Carmen Rosa Quispitupa Quispe;2018-11-08T18:47:49.000Z;Comment;0;I liked the best music I heard from the moment I started listening;null;en;positive
14;Gabriela Gareca;2018-11-05T06:10:50.000Z;Comment;1;hermosa cansion 😍😍;null;en;positive
15;Kuddu Happy;2018-11-04T08:33:52.000Z;Comment;4;This is great😎;null;en;positive
16;Toryk Toryk;2018-10-29T19:43:00.000Z;Comment;45;a nice song R E S P E C T!!!I'm Russian but I like that kind of music I like everything and understand everything;null;en;positive
17;Μαρια Λιουδακη;2018-10-26T23:43:10.000Z;Comment;4;i love this song...;null;en;positive
18;Paola Virudiana;2018-10-26T04:16:51.000Z;Comment;1;I love this song ❤️;null;en;positive
19;Carla gabriela Alejo gutierrez;2018-10-23T20:12:07.000Z;Comment;1;hermosa cancion ❤💛💚;null;en
20;Irar Taant;2018-10-23T04:48:24.000Z;Comment;0;wao this song I loved it. that's good Latin song. from David. i sebastian. keep in that way. motivating more to the public.;null;en;positive
21;Vanesa Gonzalez;2018-10-14T01:00:08.000Z;Comment;0;The Adoro David Bisbal y Sebastian yatra;null;en;positive
22;Wendolay Valer Robles;2018-10-13T15:29:36.000Z;Comment;1;Hermosa cancion...... 💛💛💛💛💜;null;en;positive
23;Compras - MIREX;2018-10-12T18:48:00.000Z;Comment;0;🔥 🔥 🔥 This video will blow you|r mind 🔥🔥🔥 ▶ https://tinyurl.com/8uuae23 ◀ 🔥🔥🔥 Thank me later.;null;en;neutral
24;Gigy Villarreal;2018-10-12T18:37:27.000Z;Comment;0;🔥 🔥 🔥 This video, will blow your mind 🔥🔥🔥 ▶ https://tinyurl.com/q7hsjdt ◀🔥🔥🔥 Thank me later.;null;en;neutral
25;Gresel Ortiz;2018-10-09T23:20:53.000Z;Comment;1;Thanksforsharingthisisthemostpopularofmyfavorite;null;en;positive
26;Albita Barrios;2018-10-08T04:40:49.000Z;Reply to Angie Romina;0;U.u me to;null;en;positive
27;Domond Claude marthe valeria;2018-10-03T16:28:12.000Z;Comment;1;I love this song so much 😘;null;en;positive
28;Miriam Rodriguez;2018-10-02T05:38:56.000Z;Comment;2;Love this Song ❤️❤️❤️🌹;null;en;positive
29;Mira Ban;2018-10-01T23:33:26.000Z;Comment;1;I love this guy and his songs ❤;null;en;positive
30;jenipher quintanilla;2018-10-01T01:04:03.000Z;Comment;0;That's right Baby 😤😠🤬💚;null;en;positive
31;pomarańcza orangefun;2018-09-29T14:17:11.000Z;Comment;0;Am I the only one who doesn't understand Spanish but loves the song? 2018💗;null;en;positive
32;Virginia De los Santos;2018-09-19T00:20:52.000Z;Comment;1;HERMSOSA CANCION!;null;en;positive
33;ilaf smith;2018-09-17T17:56:51.000Z;Comment;0;what  am i doing here i have an exam tomorrow;null;en;joke
34;Gerlanda O'Brien;2018-09-16T20:36:46.000Z;Comment;0;am i the only person that don't speak Spanish but still like this song?;null;en;positive
35;EG in83;2018-09-11T16:45:22.000Z;Comment;6;I love this song😍;null;en;positive
36;Aaron;2018-08-31T20:13:26.000Z;Comment;2;I don't know WHAT the hell he is singing about..and frankly, I don't wanna know...I love this song;null;en;neutral
37;JUSTER KAWIRA;2018-08-30T07:08:36.000Z;Comment;0;Ohh my God..am really in love with this song..you guys nailed it..;null;en;neutral
38;Alina Sasu;2018-08-26T15:32:36.000Z;Comment;2;Simplemente The Best!;null;en;positive
39;พงศ์ศิริ สมบัติอักษร;2018-08-25T03:03:19.000Z;Comment;0;I love music this;null;en;positive
40;Ivy Castanares;2018-08-23T18:39:57.000Z;Comment;0;I love this music so much most especially  the singer😘😘😘;null;en;positive
41;Treza Only;2018-08-20T02:54:42.000Z;Comment;0;I would like to dance this music with someone that feel a very high feeling , with very sweet and sensual mouvements . 😙😙😙😙😙😙😙😙😙😙😙;null;en;positive
42;Eve Gandara;2018-08-17T06:36:28.000Z;Comment;0;🙏this gets me in my feels 💎💎well I do reggeaton & Latino trap help me grow please🙏🙏💎💎💎 https://youtu.be/Sb2RkE7cWHo;null;en;suggestion
43;Tomzzska;2018-08-17T00:30:19.000Z;Comment;2;That why i love spanish language and latino songs they just spin my head around 😍 I dont understand a word, but i just love this song. It made me smile and feel a lot better. Gives a lot power to days. And the sound of David, so special 👍 gracias, una canción maravillosa, muy bien;null;en;positive
44;Costin Razvan Florea;2018-08-12T17:40:48.000Z;Comment;0;Who is she??? Name please.;null;en;positive
45;Tevan Mansuryan;2018-08-11T06:20:46.000Z;Comment;1;I don't understand a word in Spanish, but the song is sooooo good. Love it!;null;en;positive
46;zvezdarci94;2018-08-10T23:19:17.000Z;Comment;0;Speed 1.25 and now  you can dance :);null;en;joke
47;Vicente Hidalgo Cifrian;2018-08-04T19:02:13.000Z;Comment;0;SUSCRIBE TO THE CHANNEL;null;en;neutral
