id;Name_User;Date_Comment;Type_Comment;Number_Likes;Text;Hashtag;Language;Reaction
1;angelina testarelli;2019-01-02T21:16:53.000Z;Comment;0;"Hermosa cancion";null;en;positive
2;Tram Nguyen;2018-12-30T05:46:47.000Z;Comment;22;I don't understand a single word but that couldn't hold me back from smilling and giggling through the entire song. Love from Vietnam <3 :D;null;en;positive
3;feyzanur akyüz;2018-12-29T16:07:20.000Z;Comment;1;why this song is so perfect?  ♥️♥️;null;en;positive
4;Tamara Orellana;2018-12-27T17:50:13.000Z;Comment;0;I love that song;null;en;positive
5;Angie España Mejia;2018-12-28T13:55:33.000Z;Reply to neydI Garcia;2;J looking for an opportunity to work in the world and to be able to help out;null;en;suggestion
6;H Max21;2018-12-26T18:46:16.000Z;Comment;7;I have no idea what they are saying but wow😍 found this as a piano song at first and loved it.;null;en;positive
7;Rita Mendez;2018-12-18T22:51:34.000Z;Comment;1;Hola me llamo thiago hermano Andrés;null;en;neutral
8;Lawrence N;2018-12-15T14:28:53.000Z;Comment;2;This song always make me happy.;null;en;positive
9;Luz Leon;2018-12-13T18:24:01.000Z;Comment;0;Q cancion🤩🤩❤;null;en;positive
10;Վաչագան Միրզոյան;2018-12-11T06:57:05.000Z;Comment;1;Congratulations for 1 bilion. This song deserves that.;null;en;positive
11;Matthew Wheeler;2018-12-09T02:42:37.000Z;Comment;0;1 billion of wiews on YouTube is coming soon;null;en;positive
12;Hazim Abdelbaset;2018-12-07T04:46:49.000Z;Comment;0;Who is lestining this song about 100 time مين سمع الاغنية دي يجي 100 مرة;null;en;positive
13;Shir Yang;2018-12-04T13:59:35.000Z;Comment;0;although entiendo nada con what they singing😄 still estoy muy feliz✌;null;en;positive
14;CậuBé NguNgơ;2018-12-03T08:04:10.000Z;Comment;1;2018 Do you like this?;null;en;neutral
15;Supattana Bolger;2018-12-02T22:07:21.000Z;Comment;0;Have started learning español. I love the language. And this song is awesome bringing me so much joy! Gracias....;null;en;positive
16;ChuckyGlasco;2018-12-01T23:40:39.000Z;Comment;0;this video makes me smile;null;en;positive
17;Roni Sic;2018-11-28T02:25:31.000Z;Comment;0;I love the song;null;en;positive
18;manaf salmi Libya;2018-11-27T21:11:38.000Z;Comment;10;I'm from libya and i love this song;null;en;positive
19;Egg Roll;2018-11-18T06:21:20.000Z;Comment;0;I don't understand the lyrics but this song feels very happy;null;en;positive
20;Madhav MKNC;2018-11-18T06:12:04.000Z;Comment;1;Who came here after knowing that Daniel Duran is directing Yo Yo's comeback music video;null;en;negative
21;Daniel León;2018-11-18T01:07:51.000Z;Comment;0;Ana😍;null;en;positive
22;Jefferson Deras;2018-11-17T17:52:30.000Z;Comment;0;Good song I love the song so much;null;en;positive
23;Edīte jasone;2018-11-17T09:17:10.000Z;Comment;0;Is love;null;en;positive
24;teamir dinarr;2018-11-16T12:04:16.000Z;Comment;22;Sebastian  I am from Ethiopia most important thing is that I love this song and Carlos and Colombian;null;en;positive
25;Karla Avalos;2018-11-18T05:23:57.000Z;Reply to Girl with the empty heart space Lavv;0;+Girl with the empty heart space Lavv ♐♐♐;null;en;neutral
26;Anthony Terry;2018-11-14T05:25:41.000Z;Comment;0;I am OBSESSED with the song Great work;null;en;positive
27;Zaira Mungaray;2018-11-13T16:57:43.000Z;Comment;0;love this song!!!!!!;null;en;positive
28;Berfin T.;2018-11-13T16:14:30.000Z;Comment;0;Go to the 2019😅😅(caktirmayin Turkiyeliyiz);null;en;positive
29;Edith G.;2018-11-12T22:35:58.000Z;Comment;0;Is that Felix from La Banda at 3:02???;null;en;positive
30;Gladys Guzman;2018-11-09T00:47:23.000Z;Comment;0;I like hearing this over and over again don’t u;null;en;positive
31;Lava Cube;2018-11-08T05:20:08.000Z;Comment;1;Only English comment you will find here;null;en;neutral
32;Moryn Brandy;2018-11-07T15:00:58.000Z;Comment;0;Am kenyan and i have listened to this song a hundred times;null;en;positive
33;It’s  Adriana;2018-11-06T16:28:31.000Z;Comment;44;Still waiting for the billion viewz!?👀;null;en;positive
34;Amogh Vijayan;2018-11-05T08:11:10.000Z;Comment;2;Shakira brought me here. Thanks Shakira.;null;en;negative
35;ELIANYS BRICEÑO SEGOVIA;2018-11-04T14:58:06.000Z;Comment;0;I would like it to be in English this video;null;en;suggestion
36;Juliana Silva;2018-11-27T03:17:44.000Z;Reply to Juliana Silva;0;+Laughing Shanon The Killer yo tampoco jajaja;null;en;joke
37;G u z m a n S u c k t h e c o c k;2018-10-26T14:45:40.000Z;Comment;0;From Thailand 🇹🇭;null;en;neutral
38;zadnes shakiry;2018-10-25T23:34:07.000Z;Comment;0;Hermosa cancion 😊☺;null;en;positive
39;Angelica Salinas;2018-10-25T14:32:18.000Z;Comment;0;hermosa cancion ❤️💜;null;en;positive
40;Good Luck;2018-10-24T16:10:35.000Z;Comment;50;Hi brothers I'm from India n most important thing is that I love this song...😃😃😃🇮🇳🇮🇳🇮🇳🆒;null;en;positive
